Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTU.not.DGE	1.9724446796014662e-08	1.1409201522439969e-08	0.04192072820863477
DTU	1.141091573068955e-08	7.353483381713468e-09	0.06035861989492983
DGE	7.205457959534456e-09	6.176229299909899e-09	0.12167717798482641
DTU.up	8.454506999740348e-09	8.24071404325801e-09	0.15245910862663625
DTU.not.DTE	8.631837653142488e-09	8.595283148086287e-09	0.15762837541394242
DTU.down	6.1864904244609755e-09	7.509612577538375e-09	0.20502389526341164
DGE.up	5.1193247083139645e-09	6.291978782183863e-09	0.20792929229184726
DGE.down	6.16461930514902e-09	7.948631590667223e-09	0.21900520845006488
DTE.down	4.115909052334082e-09	7.9022336229895e-09	0.30123428244726147
DTE.up	3.9371212145065695e-10	6.2654554294493096e-09	0.47494753484079644
DTE	3.3623624181134736e-10	6.534228123360707e-09	0.47948041046678297
