Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTU	1.834148523242929e-09	1.0568769914806843e-09	0.04133128961635518
DTU.down	2.571819590011152e-09	1.5721929752051603e-09	0.050938973544177445
DTU.up	2.651706312751466e-09	1.7485029658700221e-09	0.06468914713141576
DTU.not.DTE	2.8584683894557127e-09	1.901040656186018e-09	0.06633788200430325
DTU.not.DGE	3.1699943536590805e-09	2.483205169988538e-09	0.10087640007923987
DTE.up	8.775375501665386e-11	6.667479434248414e-10	0.44764457368435323
DTE	-1.9132674324888292e-10	9.469786549119967e-10	0.5800569330684872
DGE.up	-2.14649468920348e-10	6.146844573940299e-10	0.6365314283467727
DGE	-2.3319168024627745e-10	6.443544440297699e-10	0.6412865080827168
DTE.down	-4.380284176136979e-10	9.150825642152344e-10	0.6839155673880442
DGE.down	-3.794607507135142e-10	5.22353703609126e-10	0.7662167087030882
