Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DGE.up	5.566854302667783e-09	5.8912031080897485e-09	0.1723438514315596
DTU	4.432531211248922e-09	5.97097933514863e-09	0.2289389357497985
DTU.down	5.012687906104069e-09	6.808861038140817e-09	0.2308042990864646
DGE	1.2960606668129356e-09	5.1057933250330535e-09	0.3998091241778728
DTU.not.DTE	1.3858425513780294e-09	7.235217983541144e-09	0.4240507908218387
DTE.up	5.612074296546882e-10	5.82209985748522e-09	0.461604378621854
DTU.up	9.807964536699603e-11	7.096236735480678e-09	0.4944862505150549
DTU.not.DGE	9.219912943306729e-11	8.233369381070905e-09	0.4955326476305144
DGE.down	-2.5354001188505786e-09	6.76202544654269e-09	0.6461500011704152
DTE	-4.062102164948538e-09	5.390539714477599e-09	0.7744436579269938
DTE.down	-4.478530885548581e-09	5.47896814772569e-09	0.7931512258752386
