Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DGE.up	2.1659955375347264e-08	5.0813165018720695e-09	1.0100114165669316e-05
DGE	1.2287377796907915e-08	4.7923088057327115e-09	0.005173994440489868
DTE.up	1.2941511499453238e-08	5.1273092250449266e-09	0.005800807403635703
DTE	1.0351106762434374e-08	4.580078233960161e-09	0.011909744956593353
DTU.down	3.612428061552176e-09	5.496520379361784e-09	0.25551944494020573
DTU	1.7709380612900476e-09	4.826047104285104e-09	0.35682660564937685
DTU.not.DTE	-5.504727243791242e-11	5.653020641232765e-09	0.503884708500903
DTU.not.DGE	-1.188758469052607e-09	6.679531139179765e-09	0.5706268678670139
DTE.down	-1.5770339605708975e-09	5.222115498972632e-09	0.6186706898346531
DGE.down	-2.6270149593296414e-09	5.4150281017836966e-09	0.6862093991680285
DTU.up	-2.9161323680031206e-09	5.343571818492307e-09	0.7073732564091808
