Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DGE.down	-2.300519221808615e-09	6.611343480216687e-09	0.636066940964407
DTE.down	-2.8870372838268137e-09	7.0095359713829445e-09	0.6597836748752399
DTE.up	-5.068692864380686e-09	6.66618889640304e-09	0.7764798151638433
DGE.up	-5.8096330607480805e-09	5.8093240880209466e-09	0.8413576150986342
DTU.not.DGE	-1.202433970491587e-08	1.1046304934663807e-08	0.8618215047327806
DGE	-6.788074141203583e-09	5.786137920843522e-09	0.879634472559579
DTU.not.DTE	-1.03061806736714e-08	8.291113080717402e-09	0.8930733524068089
DTE	-8.809983012070061e-09	6.3596821813600945e-09	0.9170175874206965
DTU.down	-1.1651719102253007e-08	8.208667356907578e-09	0.9221147586089005
DTU.up	-1.453900998759422e-08	8.183314120424398e-09	0.9621883351143827
DTU	-1.3659909407019963e-08	7.031069385027967e-09	0.9739793873998095
