Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTE.up	3.4324486903611647e-09	1.1039320780090688e-09	0.0009376770390660461
DGE.up	3.0381796239405146e-09	1.0704247062093446e-09	0.002267771897692127
DTE	2.5652617944870055e-09	9.271140215956182e-10	0.002829324659423813
DGE	1.6337503537094075e-09	9.302494605529873e-10	0.039522889291426444
DTU.not.DGE	1.0250057189891902e-09	1.1934167701602736e-09	0.19520245535410885
DTU.not.DTE	9.618970396965035e-10	1.120838347416213e-09	0.1953926016432163
DTU.down	6.197171142928697e-10	1.0989137047310486e-09	0.28639880867825496
DTU	1.9484828707700625e-10	9.582344761256318e-10	0.41943428410159667
DTE.down	-1.426068175181733e-10	1.1858489152677272e-09	0.5478602786913542
DTU.up	-1.482799717232165e-10	1.0734498755116602e-09	0.5549327595496242
DGE.down	-1.4460052391028436e-09	1.1859964068759532e-09	0.8886220000610134
