Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTE	1.1355637057053206e-09	3.8878188775385047e-10	0.0017455315034371264
DTE.up	1.2767458185131732e-09	4.592195116183497e-10	0.002715839178885159
DGE.up	1.1716349308443538e-09	4.5981478748692834e-10	0.005416216796568064
DGE	6.952846235262769e-10	3.948205835532871e-10	0.03911800635879113
DTU.not.DGE	5.150762176151361e-10	5.413448662596546e-10	0.17068159974736336
DTU.not.DTE	4.332995076673754e-10	4.80630017925116e-10	0.18365488326142138
DTU.down	2.5508711454131306e-10	4.839737791314149e-10	0.2990731675497186
DTE.down	1.6367668543376823e-10	5.920574337103644e-10	0.391099667299788
DTU	-2.243288618467427e-11	4.133503080788501e-10	0.5216403263009198
DTU.up	-1.3751339043684683e-10	4.5206083400449577e-10	0.6195092756302613
DGE.down	-4.3830794048134734e-10	6.290771337136931e-10	0.7570195967129243
