Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DGE.down	1.8628548081834188e-08	1.3867508257524324e-08	0.08958364216820935
DTE.down	8.40346053046345e-09	1.2220070047743105e-08	0.2458281183982151
DTE	-2.5530770402154025e-09	8.724015989725164e-09	0.6151048808720487
DGE	-4.121553918945113e-09	9.725821856433276e-09	0.6641348100395397
DTU.not.DTE	-1.0187330493304625e-08	1.1165535955624615e-08	0.8192184424177453
DTU	-1.2201373382315417e-08	9.25048026582107e-09	0.9064152614685379
DTU.not.DGE	-1.6913829787211057e-08	1.2462579378987421e-08	0.9126362841105403
DTU.down	-1.776266344675857e-08	1.0188042084655358e-08	0.9593752331908395
DTU.up	-1.8482480251135108e-08	9.856764554358986e-09	0.9696109420749147
DGE.up	-2.08959025432738e-08	8.46104228288411e-09	0.9932379346580541
DTE.up	-2.01183157881152e-08	7.866464150469068e-09	0.9947283017278794
