Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTE.up	1.4732791823344514e-08	9.785237954241336e-09	0.0660831387806474
DTE	8.162688479600805e-09	8.754243273955641e-09	0.1755580755895031
DTU.down	4.6826914673180234e-09	1.3095042242207934e-08	0.3603240723345926
DGE.up	2.203106691291107e-09	1.0283004126131039e-08	0.415177074985868
DTU.not.DTE	2.5638218251243498e-09	1.3349760177143797e-08	0.4238515087505978
DTE.down	1.293592807475805e-09	1.0629536566646095e-08	0.451569118496559
DTU.not.DGE	8.064160116518079e-10	1.7064957173487297e-08	0.4811547287715319
DGE	-1.4611963529428852e-09	9.546464136517108e-09	0.5608251212990518
DTU	-1.8374319517516976e-09	1.1513847004247366e-08	0.5633958200165327
DTU.up	-2.9051311477891533e-09	1.2169406187622835e-08	0.5943402554393573
DGE.down	-2.9382643769398853e-09	1.0832139748906374e-08	0.6069022699185627
