Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTE.up	1.0605431676783484e-08	3.4276423255719907e-09	0.0009870900486539233
DGE.up	9.296137648053425e-09	3.568206264603012e-09	0.004590105872422648
DTE	7.678605041932696e-09	3.00723865890367e-09	0.005334243355977624
DGE	6.304665879562817e-09	3.089463752345114e-09	0.0206403727530417
DTU.not.DGE	7.443198388930221e-09	4.365601526109678e-09	0.04410046367093854
DTU.down	5.850703814160863e-09	3.537063887081705e-09	0.049052264484014924
DTU	4.866509620421247e-09	3.176032351276808e-09	0.06272905489819754
DTU.not.DTE	6.182573706496094e-09	4.151790617176152e-09	0.0682260070295869
DTU.up	4.019103704369075e-09	3.841527693617531e-09	0.1477284978492716
DTE.down	3.642772569291875e-09	4.299159916466609e-09	0.19840784726188082
DGE.down	-2.3737155589800743e-09	4.8774753350111884e-09	0.6867535061999612
