Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTU.not.DGE	2.785886855662035e-09	1.311001342752127e-09	0.01679301996311321
DTU.not.DTE	2.3931096849582906e-09	1.129164312248791e-09	0.017029877392023798
DTE.down	1.5753174976431986e-09	9.33940287960298e-10	0.04582636376628404
DTU.down	1.5440045139667679e-09	9.266157709773109e-10	0.047828486790286284
DTU.up	1.7839016526523287e-09	1.0781720974003087e-09	0.04900677599486392
DTU	1.2439063451123492e-09	8.88180400231228e-10	0.08068018856450365
DGE	9.439704848008418e-10	7.788377467783147e-10	0.11275148786972233
DGE.down	1.0399588508102853e-09	9.530894040445392e-10	0.13760451617624853
DTE	6.164466511337902e-10	7.882399132656633e-10	0.21709124276803982
DGE.up	6.327125403516547e-11	9.112094688789077e-10	0.47232106288719966
DTE.up	-3.170822890553029e-10	8.928580470634178e-10	0.6387545743499087
