Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTE	1.54894792559745e-09	4.758100299041871e-10	0.0005661807744630217
DTE.up	1.197665351270546e-09	5.971741903178194e-10	0.02245190324422604
DGE.up	1.157077971386734e-09	5.949768977199022e-10	0.025902876316138645
DTU.down	1.1439183371068067e-09	7.373838656620501e-10	0.06041250833480347
DTE.down	9.061339425811092e-10	6.212002404745018e-10	0.07232625238697288
DGE	6.561010715908871e-10	5.125488729377655e-10	0.10025935496514643
DTU.not.DTE	7.170656031499361e-10	7.955454053668598e-10	0.18370087728078316
DTU	4.057391862681849e-10	6.478635645783719e-10	0.2655680840110501
DTU.not.DGE	4.4570210401612685e-11	8.54125895097654e-10	0.4791917383295259
DTU.up	-2.5788144461442606e-10	7.678815985166944e-10	0.6315023169859091
DGE.down	-4.0094020165927083e-10	5.738883569735498e-10	0.7576108485631932
