Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTE.up	5.966511820222607e-09	1.5003221065212077e-09	3.492141159681609e-05
DTE	4.349040411883949e-09	1.2774641601414317e-09	0.0003315085099159285
DGE.up	4.828441549616382e-09	1.4308244395945896e-09	0.0003696327258602855
DTU.down	3.739551401576286e-09	1.6742295645267782e-09	0.012754854464753608
DTU	2.509488560968554e-09	1.5447077873970942e-09	0.05212692530597653
DGE	1.635942001391966e-09	1.2292751765384313e-09	0.0916243890041849
DTE.down	1.0904353529891338e-09	1.4704712849037747e-09	0.2291784943675398
DTU.not.DTE	1.1351847201400418e-09	1.6748034268548114e-09	0.24894869564876743
DTU.up	1.1944301512709618e-09	1.8273027086847236e-09	0.25666623961920465
DTU.not.DGE	1.3811174497902722e-09	2.162906135157101e-09	0.26155880068957194
DGE.down	-3.64562500365492e-09	1.2583094819759346e-09	0.9981176939051613
