Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTE.down	3.16392708905481e-08	3.482475946755307e-08	0.18179964982523084
DTE	2.43463617189244e-08	3.040591759631839e-08	0.21164940044710845
DGE	1.129405113164552e-08	3.1463602230344114e-08	0.35981397505586543
DGE.up	1.2417995750506286e-08	3.604288779658694e-08	0.3652224130267932
DGE.down	2.3407829529555337e-09	3.413435703412901e-08	0.47266373313100696
DTU.not.DGE	-5.945853831287937e-09	4.393224983926551e-08	0.5538290378342932
DTE.up	-6.989024391236438e-09	2.9300312940031892e-08	0.594265249497617
DTU.up	-2.4336801112098806e-08	3.611931085128443e-08	0.7497773250052445
DTU.not.DTE	-2.834432078389106e-08	3.9214854838727045e-08	0.7650972351499252
DTU	-2.5799641865382527e-08	3.351998708206512e-08	0.7792549387743657
DTU.down	-5.608631572164803e-08	3.602123447166938e-08	0.9402688886894238
