Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTU.down	1.8877401652685398e-09	1.3984491606670153e-09	0.0885270540604347
DTE.up	1.276873987873679e-09	1.1058535763422275e-09	0.12411686237327041
DTE	8.449548474526755e-10	1.0375178025142112e-09	0.20770782297770096
DTU	8.43069586445827e-10	1.2067250401153822e-09	0.24238768967779878
DTU.not.DTE	9.018368931102986e-10	1.517680074272236e-09	0.27618225982067923
DTU.not.DGE	6.101321116056273e-10	1.5513090247838538e-09	0.34704841828729693
DTU.up	2.445169405684861e-10	1.3066868324901215e-09	0.4257803634540411
DTE.down	8.948413513354676e-11	1.2197412676626424e-09	0.47075854630096325
DGE.up	-1.418430914665717e-11	1.0934545030386178e-09	0.5051749404509593
DGE	-2.6740151862324553e-10	1.0166576977511368e-09	0.6037324980083877
DGE.down	-7.250775687199504e-10	1.2205368959675597e-09	0.7237654934542026
