Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTE.up	2.363445447376748e-08	4.431825907406551e-09	4.8330069942962653e-08
DGE.up	2.257697931660656e-08	4.807106981046267e-09	1.3227456019829262e-06
DTE	1.4402398726844977e-08	4.152767013446671e-09	0.0002620320822735617
DGE	8.795791057901888e-09	4.338057301297341e-09	0.02130117939027993
DTU.not.DGE	5.2188985934919094e-09	7.807641517378965e-09	0.2519280726544811
DTU.up	2.0933419275538555e-09	6.288975957974215e-09	0.36962037902731704
DTU	1.4106744831580984e-09	5.810087543564579e-09	0.4040811526531015
DTU.not.DTE	7.492587522735205e-10	6.333593751016511e-09	0.4529153157440257
DTU.down	-7.025145014258188e-10	6.236224246467428e-09	0.5448462225822719
DTE.down	-6.116900589872612e-09	4.842066576784577e-09	0.8967562606442843
DGE.down	-9.332288365656159e-09	4.7798478477543584e-09	0.9745560410402482
