Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTE.up	7.640883588165092e-08	1.5978137466987607e-08	8.674248499340756e-07
DGE.up	7.289126176003223e-08	1.6638581054148685e-08	5.91064335419421e-06
DTE	4.597472959036131e-08	1.3890651684976453e-08	0.0004668792386692558
DGE	3.4112827523474346e-08	1.558782172838016e-08	0.014319215625617825
DTU	2.231376503467217e-08	2.08403718966392e-08	0.1421523996861675
DTU.up	1.9655690077366988e-08	2.2067287351873345e-08	0.18654072393267274
DTU.down	1.6453016595139434e-08	2.3530097998611883e-08	0.24220327394116026
DTU.not.DTE	1.4417488077108226e-08	2.3453545471675008e-08	0.2693680700944102
DTU.not.DGE	1.367554278372773e-08	2.642691979568634e-08	0.3024087104721831
DTE.down	-1.9494500659083628e-08	1.7086384717495267e-08	0.8730520774287323
DGE.down	-2.3868828941109044e-08	1.781917189775034e-08	0.909796462629301
