Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DTU.not.DTE	1.62520969198856e-09	1.2095428435394938e-09	0.0895298000677911
DTU.not.DGE	1.3870728618720381e-09	1.2459288208372697e-09	0.13279319652646304
DGE.up	6.291901049420198e-10	8.128159841113806e-10	0.2194397384214683
DTU.down	8.117506222520968e-10	1.111199684438328e-09	0.23253701311930397
DTU	3.0046289900495405e-10	9.78775666197169e-10	0.3794299412232055
DTU.up	2.878924779239363e-10	1.1202550358145875e-09	0.3985938885147344
DTE.up	-8.75126545629037e-10	8.570019379756164e-10	0.8464080396657963
DGE	-1.2441123984331519e-09	8.033329222459544e-10	0.9392716811855908
DTE.down	-2.400969023301221e-09	9.002292889136585e-10	0.9961741437128183
DTE	-2.1160020329097086e-09	7.631943178793651e-10	0.9972191366773356
DGE.down	-2.4930838606292297e-09	8.441425953354358e-10	0.9984284864050451
