Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Per	1.8616711155972142e-08	1.0069684356903732e-08	0.03224421860011235
ExM-U	1.7561619325424843e-08	9.92114092596824e-09	0.0383534977643385
Mic	1.9415589892001865e-08	1.2057297636432848e-08	0.05366869154595731
oRG	1.3382798372366984e-08	1.0044781335561206e-08	0.09137858669045124
InCGE	1.0878780717733004e-08	9.122664276977676e-09	0.11653254875179742
OPC	1.0151340139238477e-08	9.414407759478491e-09	0.1404550604712287
PgG2M	8.059433452721627e-09	1.0034565122009286e-08	0.21093905386616457
End	8.861224058057208e-09	1.1382855470411007e-08	0.21814566777080235
PgS	7.455262835976617e-09	1.0236596209589097e-08	0.23321648132819567
ExDp1	1.5059200085335634e-09	8.549396626391856e-09	0.43009063277432036
ExN	-5.419497984038004e-10	9.025929928542148e-09	0.5239395660650736
InMGE	-1.4084602195529728e-09	8.158539388258725e-09	0.5685313495057136
ExM	-2.7849912275187376e-09	9.007106646921695e-09	0.6214150434651355
IP	-4.043678059305442e-09	9.552013857280244e-09	0.6639736631464375
ExDp2	-5.70551197366483e-09	8.411159636502995e-09	0.7512176310139154
vRG	-1.1054908723917884e-08	9.217852499074717e-09	0.8847930399070126
