Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Per	3.565814337433959e-09	2.527981590265048e-09	0.07919042799332465
InCGE	2.131754253704884e-09	2.3142395367890855e-09	0.17848690471962775
oRG	1.3483261679971775e-10	7.742103142539888e-10	0.43087181500057076
Mic	2.6331973435021973e-10	1.624297081741264e-09	0.4356084196293931
vRG	-4.2076805983411087e-10	1.2782124656936178e-09	0.6289919781600244
ExN	-2.6140218855944116e-10	6.439096278424864e-10	0.6576143673412649
PgS	-8.140911037785827e-10	1.6831154579987204e-09	0.6856938889429256
End	-4.259844185541122e-10	8.394344745917164e-10	0.6940860413566903
PgG2M	-9.455376170335127e-10	1.3998714185686628e-09	0.7503037909284825
ExDp1	-6.437279293122569e-10	9.075676819763724e-10	0.7609274766438718
ExDp2	-8.637842916744447e-10	1.196832817268776e-09	0.7647682482722449
IP	-1.0966506965103175e-09	1.177087035282842e-09	0.8242451389909471
ExM-U	-1.0297827672122256e-09	1.0734768376838232e-09	0.8312953464663285
OPC	-1.6220774266460258e-09	1.3937433094076157e-09	0.8777531297495601
InMGE	-6.084710148440334e-10	4.045181757944897e-10	0.93373339863462
ExM	-1.5016714182247639e-09	9.343852351118856e-10	0.9459862370555513
