Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp1	9.780792472900395e-09	2.7439391844419103e-09	0.00018226984445039336
ExDp2	8.610756876112161e-09	3.383019447338462e-09	0.005459391020873977
InMGE	5.5271395895393055e-09	4.672617630206328e-09	0.11842862399087606
ExM	3.536115220713502e-09	3.267907324097775e-09	0.13960998219004273
ExM-U	1.7165401205638692e-09	2.5219173970453405e-09	0.2480468614389113
End	2.7287762455144545e-09	5.711604097685505e-09	0.3164105000705668
Per	7.907143393185626e-10	3.4263798913545062e-09	0.4087457634855868
InCGE	6.934251104674056e-10	3.141854653065916e-09	0.4126608113479589
PgS	6.437162255281379e-10	3.791333722396514e-09	0.43258913179338015
ExN	2.813413636348967e-10	3.1470269204093315e-09	0.4643823707066627
Mic	-1.7173499534414296e-09	3.555739133229668e-09	0.6854449383004533
IP	-2.0006609936665125e-09	2.9787298046193153e-09	0.7490964225619147
OPC	-2.261464248525092e-09	3.227683262345889e-09	0.758238103442173
oRG	-4.2003981193860645e-09	3.4319422787660048e-09	0.8895074397395213
PgG2M	-6.822145176066352e-09	3.2066954734710186e-09	0.9833094323384771
vRG	-9.637444625512189e-09	2.765084342394285e-09	0.9997543055994873
