Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp2	1.9258581977434384e-08	6.008968192681822e-09	0.0006753752997783784
ExDp1	1.9975887383326415e-08	6.7234730145123034e-09	0.0014838361653313292
Mic	1.761399411990625e-08	7.4093103993747905e-09	0.008720457769486115
ExM-U	1.5270292222236866e-08	6.8846459919957485e-09	0.013276686263907446
PgS	1.6360497268850767e-08	8.20895572930659e-09	0.023130400063217735
ExN	1.062720981081362e-08	6.554528522638946e-09	0.05247089012295857
ExM	8.752879093416184e-09	6.6834069319449e-09	0.09515826695192303
OPC	9.307285167681829e-09	7.2552392021300476e-09	0.09977469377947462
End	6.2986793360851316e-09	6.9521014300973074e-09	0.1824650544237924
Per	5.044171431218748e-09	6.62430643388008e-09	0.22318996162306426
oRG	-1.8150636035739646e-10	6.432008178155782e-09	0.5112563526129
InCGE	-4.820581872077018e-09	5.79494007297618e-09	0.7972561611822047
InMGE	-5.267651583108773e-09	5.942040409880056e-09	0.8123274077002736
IP	-6.806793848701504e-09	6.1179321006438555e-09	0.86705925852471
PgG2M	-7.196891977883088e-09	6.2673035199765565e-09	0.8745824814531749
vRG	-1.0831829989709168e-08	6.428326264074903e-09	0.9540072184123461
