Name	Coefficient	Coefficient_std_error	Coefficient_P_value
End	1.9414022358028354e-08	9.950496785648662e-09	0.025524917931972153
ExM-U	1.4132421679357707e-08	9.69134364879995e-09	0.07238554174296465
PgG2M	1.7107202726740528e-08	1.2773005199371792e-08	0.09023247811604262
IP	1.2065324254162465e-08	9.663232856322715e-09	0.1059092714100327
InCGE	1.075089191403754e-08	1.0038122457001699e-08	0.1420833091626033
ExN	7.664790471104871e-09	9.937125156203543e-09	0.22025604337191096
PgS	9.170914029366224e-09	1.3139581839543096e-08	0.242600831428202
Mic	5.202332081644043e-09	1.1153579543876567e-08	0.32045489839731756
InMGE	4.313904166288642e-09	9.282292968277462e-09	0.32105684950662183
ExDp2	3.930095044837128e-09	1.0276756777657102e-08	0.35107284631821156
ExM	8.960437359292244e-10	8.434044408548858e-09	0.4576954568451627
oRG	-1.693459972272074e-09	9.107087754200295e-09	0.5737578852325078
vRG	-4.506835084005012e-09	1.0047330613917256e-08	0.673125613100346
Per	-5.382246890344866e-09	1.1281388403382346e-08	0.683351275788652
ExDp1	-8.321061391362574e-09	8.866242849273496e-09	0.826008920341833
OPC	-1.5263388508848148e-08	1.043504012476625e-08	0.9282259825137353
