Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExM	2.9197231453458623e-08	1.3342981550155137e-08	0.01432719326658549
ExM-U	2.499527840615615e-08	1.2196822099552435e-08	0.02021506883132582
Mic	2.9365777361438377e-08	1.4529227429462003e-08	0.02163201539210438
End	1.9894458176133824e-08	1.1829085621487332e-08	0.04630133846277696
IP	2.0047383887124337e-08	1.207279735763476e-08	0.048402759469184015
OPC	2.0130156493629095e-08	1.3064040002734715e-08	0.06167263812729804
InCGE	1.776226524302924e-08	1.2235777383381395e-08	0.07329721199968882
Per	1.1262571434941441e-08	1.2846487163813028e-08	0.19032361629289773
PgG2M	9.48799490661657e-09	1.311170921922401e-08	0.234647190698549
oRG	6.2069567059357505e-09	1.0948626617551485e-08	0.28538546835845824
PgS	8.254172531027819e-09	1.4955640607065227e-08	0.29050489557085757
vRG	5.151607072014221e-09	1.1476724066411328e-08	0.3267611496582623
ExN	3.03195310222022e-09	1.2355894142089384e-08	0.4030791079212871
ExDp2	9.353315428284028e-11	1.0914460931305961e-08	0.4965812445175607
ExDp1	-1.4702691640632566e-10	9.796274045741885e-09	0.5059872815991432
InMGE	-6.283222889195545e-09	1.205893828937013e-08	0.6988315194951737
