Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp1	4.810984200925414e-09	1.3643047511312603e-09	0.00021068345673133038
ExM-U	3.4872470007202983e-09	1.177113647149955e-09	0.0015255577155518783
ExM	1.8205401372093765e-09	1.310341525128265e-09	0.08236118556352867
ExDp2	1.7456379581548363e-09	1.529492362559253e-09	0.1268686991673575
InMGE	1.4012427245704907e-09	1.2613458622234662e-09	0.13330337592348424
Mic	1.147198651070414e-09	1.2549969502721366e-09	0.18033090811502578
OPC	1.3391870436747634e-09	1.4687446914918573e-09	0.18093958014986827
InCGE	8.860909558101758e-10	1.34951864850473e-09	0.25571978666050627
ExN	5.23589030373215e-10	1.210960491281625e-09	0.33273444615783093
End	2.0706893259138416e-10	1.0765209863708826e-09	0.42373398363662357
IP	-7.10839724974271e-11	1.318657346541031e-09	0.5214951016185083
PgS	-1.869995983638588e-10	1.225162690152687e-09	0.5606559382182583
PgG2M	-6.048079134924697e-10	1.165162526374896e-09	0.6981461310236846
oRG	-8.478917452407866e-10	1.2922074243120598e-09	0.7441386424012819
vRG	-2.119591869499019e-09	1.2929846519085948e-09	0.9494247734042881
Per	-2.02269969460056e-09	1.1323360150767216e-09	0.9629752139681632
