Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp1	1.9134229444088798e-09	5.701695688214283e-10	0.0003955586908109583
ExM-U	1.4272443263250778e-09	5.037723454547057e-10	0.002304849427917406
ExM	9.88395956691035e-10	5.783064405491983e-10	0.04371422521473999
Mic	7.675578303846016e-10	5.967158482009129e-10	0.09916853796449066
OPC	6.786936978277828e-10	6.526108157827839e-10	0.14917762140000562
ExDp2	6.014220644734356e-10	6.340548413706897e-10	0.17142904103741907
InMGE	4.906856509212652e-10	5.345426083549239e-10	0.17932141304854432
InCGE	3.6377521319734617e-10	5.97616026777416e-10	0.2713581382228476
End	2.636937919753417e-10	4.614010231268521e-10	0.283828098329169
ExN	2.503339201999187e-10	5.106656621705169e-10	0.3119923021356471
PgS	-8.126467469644319e-11	5.620342113476086e-10	0.5574828074631374
PgG2M	-2.937337724209894e-10	5.146876802655708e-10	0.7158994873013272
IP	-3.472144504884521e-10	5.493441410676351e-10	0.7363237809894128
oRG	-5.889352066963125e-10	5.679035549263885e-10	0.8501399577193531
Per	-6.601262852811798e-10	5.126125569773149e-10	0.9010867135258065
vRG	-1.0580356388936606e-09	5.660342380859822e-10	0.9692030484377165
