Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PgS	6.342115205557572e-08	2.6726450998858205e-08	0.008822772007390775
PgG2M	4.635082765522126e-08	2.5214480754303414e-08	0.03301188680828997
IP	3.966685865654135e-08	2.267702291567974e-08	0.04012742631086397
vRG	3.573189563665357e-08	2.335013261877913e-08	0.06297554777484833
Per	3.107294437661871e-08	2.6848115885830666e-08	0.1235625863819842
OPC	2.3940015073740676e-08	2.1490603778239207e-08	0.13264475901604428
oRG	1.8133581639365368e-08	2.252791482417207e-08	0.21042764044575807
Mic	5.407402448717232e-09	1.4262479539226335e-08	0.3522938795139747
End	-2.491272219319699e-09	1.2136633572524909e-08	0.581318940813893
InMGE	-3.0923764617477912e-09	1.1806870319621852e-08	0.6033058602864078
InCGE	-6.4922736069048925e-09	1.5614757003657452e-08	0.6612137980396909
ExDp1	-4.594293463414428e-09	1.1013581858159687e-08	0.6617149152329548
ExDp2	-6.7597036561772e-09	1.0678495009162812e-08	0.7366397926889681
ExM-U	-6.765582677231223e-09	1.0513375817026861e-08	0.7400570941781995
ExM	-8.534204149246953e-09	1.1603990988912075e-08	0.7689685446247397
ExN	-1.763195103460208e-08	1.1460913273812237e-08	0.9380297175996332
