Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PgG2M	4.144620758542127e-08	1.7128768439194898e-08	0.007766998980826628
ExM-U	2.394583488091632e-08	1.50372280097682e-08	0.05564329931286431
PgS	2.3035569686358338e-08	1.871296981611436e-08	0.10916239307719766
ExDp2	1.5346702630814314e-08	1.4185880278012734e-08	0.13966416571955376
ExDp1	1.5099172979854645e-08	1.4260570969812775e-08	0.14484415216071728
oRG	1.371611201122124e-08	1.5936323573302298e-08	0.19470651545077539
Per	1.1596687192574414e-08	1.7062247039137455e-08	0.24835690811417488
InMGE	3.8016752366544746e-09	1.3740686740145947e-08	0.39101565276363603
ExM	1.4561454366745914e-09	1.3513069511512105e-08	0.45709370986942355
Mic	-4.189209859745823e-10	1.827474063449591e-08	0.5091443518092418
vRG	-1.6991964822107553e-09	1.4527650057359593e-08	0.5465552843718459
InCGE	-1.9529617012462733e-09	1.5344989279670373e-08	0.5506367749045732
IP	-2.33292812688004e-09	1.5994274421251725e-08	0.5579841258595197
End	-7.476403721853169e-09	1.6638532018553043e-08	0.6734077880927127
OPC	-1.7571840219136025e-08	1.4827399687387824e-08	0.8820095626786815
ExN	-1.6786882555138083e-08	1.3707695180450054e-08	0.8896430526707293
