Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp1	9.55827126417055e-09	4.2436205290496646e-09	0.012148946357848536
ExDp2	9.476705065836921e-09	4.357203653945946e-09	0.014816888908822375
ExM-U	8.778282070244419e-09	4.502678289289695e-09	0.025613754834749893
ExN	6.2857129098105344e-09	4.1090358345963e-09	0.06304186197048385
ExM	5.9970296029981875e-09	4.836087032786184e-09	0.10747692562132233
InMGE	1.939241912976099e-09	4.8115688743384745e-09	0.34346037825827513
Mic	3.686142448057226e-10	5.310760363855075e-09	0.47233205669425427
End	-3.2024400894857693e-10	4.1561925728033515e-09	0.5307090123981524
PgG2M	-3.0997067623772222e-09	4.135543469492497e-09	0.7732305684049874
OPC	-3.3313781061345153e-09	3.981849579496615e-09	0.7986027680469565
IP	-4.295299036877177e-09	4.306579118038441e-09	0.8407101300750128
InCGE	-5.057001359027857e-09	4.4434333441229e-09	0.8724573410927483
PgS	-5.8490984493561945e-09	4.812674614151462e-09	0.8878842539504039
vRG	-5.345943462244771e-09	4.0447029975628286e-09	0.906868416302069
oRG	-6.219108732949934e-09	4.043584152060908e-09	0.9379779996344283
Per	-7.189065764479139e-09	3.87729000701172e-09	0.9681409363148389
