Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PgG2M	1.8088498502269597e-09	1.2805351655378927e-09	0.07889060457005675
PgS	1.544686819792843e-09	1.2148032654631572e-09	0.10176598033874656
Per	1.4576269813611322e-09	1.4034771831509614e-09	0.14949945088544714
IP	1.255085836375872e-09	1.291093563399368e-09	0.1654977458174231
ExN	1.1140478948687942e-09	1.2017198000325127e-09	0.176951679697537
Mic	1.111348071856767e-09	1.353132449851921e-09	0.20573341315645471
ExM	1.0001346345035508e-09	1.266147697623773e-09	0.21479203208907682
OPC	9.02886166445906e-10	1.252515481555439e-09	0.23549835421698884
End	8.539431944215767e-10	1.3078150587584011e-09	0.25689293748858477
ExDp2	4.449037847716327e-10	1.1416009273105348e-09	0.3483721036496805
ExDp1	5.7923365577938514e-11	9.679380282354372e-10	0.4761407297235273
InCGE	-3.263034509873169e-10	1.2364491094377248e-09	0.604072924082452
oRG	-5.608350526022704e-10	1.2396632400893157e-09	0.6745128891538766
ExM-U	-5.200527043917177e-10	1.0976214610143855e-09	0.6821786210010403
vRG	-7.364381588133126e-10	1.1592068738745192e-09	0.7373819345935705
InMGE	-1.1918361411364178e-09	1.2276108051574264e-09	0.8341905773436922
