Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp1	3.3288377880711837e-09	8.41979346068146e-10	3.8494280782339776e-05
PgS	1.0363613559220324e-09	6.820467111198886e-10	0.06431993374295177
ExM	1.1109367868894356e-09	8.473292528362813e-10	0.09491131195169861
InCGE	1.2043361972070861e-09	9.786344289028546e-10	0.10923077172836337
ExN	6.616554457065693e-10	8.198647000047368e-10	0.2098245867261897
ExM-U	6.672216657526921e-10	8.540250410051465e-10	0.21732270847247093
End	4.1592386494597125e-10	7.312739605902582e-10	0.2847574293877996
IP	3.303202829572383e-10	8.4840553163973e-10	0.34851142138167857
InMGE	2.1994079271856033e-10	7.52849396842854e-10	0.38508808104282855
Per	2.0492803037063882e-10	7.375731425809456e-10	0.39056722333241206
ExDp2	1.5629285141420064e-10	7.482269061950437e-10	0.4172692814095002
PgG2M	3.394432228669505e-11	7.165387035216372e-10	0.48110812164027
OPC	-2.396227845571765e-12	7.82567327267133e-10	0.5012215627639213
Mic	-1.3773479258247474e-10	9.029913076490314e-10	0.5606162021107651
oRG	-1.9983401522595937e-10	7.415873714406254e-10	0.6062151917334684
vRG	-8.266826624438102e-10	7.892244598096145e-10	0.8525567344297161
