Name	Coefficient	Coefficient_std_error	Coefficient_P_value
OPC	1.6472256250046338e-09	1.391558567646615e-09	0.11826054860017449
Mic	1.9981091667686554e-09	1.7212833271397153e-09	0.12285648401475258
End	1.4431472304876958e-09	1.682954465883684e-09	0.19558204646433797
Per	4.0297642372186103e-10	1.6336291653635008e-09	0.4025796530490852
IP	1.6398352850265696e-10	1.6553852581213113e-09	0.4605450602353689
vRG	1.2075230978308574e-10	1.6711444735637072e-09	0.47119859126689584
ExM	7.531331442385106e-11	1.5926012675722865e-09	0.48114124905929806
ExN	-1.6124068129588137e-10	1.6415205528148103e-09	0.5391237466685531
ExM-U	-2.4503784727437934e-10	1.6454861057528572e-09	0.5591897156052688
oRG	-6.756838456431614e-10	1.6488347517507605e-09	0.659021745742338
ExDp1	-7.597087127922986e-10	1.4801298213042373e-09	0.6961193527038695
InCGE	-8.376799046511385e-10	1.5103215143321363e-09	0.7104284466042713
ExDp2	-9.52801668087572e-10	1.6801244263120542e-09	0.714677506496481
InMGE	-1.5275622510343992e-09	1.5308511428247344e-09	0.8408243359683185
PgG2M	-1.5938246463783483e-09	1.4977369732168206e-09	0.8563708097470617
PgS	-2.5409171494279817e-09	1.707111604586231e-09	0.9316813141035178
