Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp1	2.6711010193229666e-08	6.516653975498621e-09	2.0757330792084565e-05
ExM-U	2.5557466739485728e-08	7.379213777609945e-09	0.0002666574145173879
ExDp2	1.1017918354210425e-08	6.582443945326928e-09	0.04708161596977791
ExM	9.587769788932387e-09	6.675995164591709e-09	0.0754789934615594
OPC	8.918086002363293e-09	8.102295690509036e-09	0.1355166017422289
PgS	6.528904841151791e-09	8.103965956865866e-09	0.2102243124939549
Mic	3.341137499335545e-09	7.676422997417069e-09	0.3316916973525763
Per	3.5643241167717094e-09	8.408505970363198e-09	0.3358211746426699
ExN	2.6773685355348252e-09	6.360061074645553e-09	0.33689000839479094
InCGE	2.4284497608358912e-09	7.058843719583537e-09	0.36541208850666207
End	-1.0597477776631044e-09	7.803195821097812e-09	0.5540140421458979
oRG	-1.785420018034289e-09	7.483292221343358e-09	0.5942872724204381
PgG2M	-2.4142625177294318e-09	8.326586859687647e-09	0.6140713154808964
InMGE	-3.028851894995773e-09	6.224991275091268e-09	0.6867160587103858
vRG	-7.198412651901428e-09	7.186875645097493e-09	0.84173286704881
IP	-8.112563778844495e-09	7.412846420212639e-09	0.8631085715368825
