Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExM-U	8.66298928957712e-08	2.559168815318383e-08	0.0003557885170282724
ExDp1	6.38403376239958e-08	2.0679004643711814e-08	0.0010102392018781917
ExDp2	2.8229113197085615e-08	2.296674123469988e-08	0.10951151365073447
OPC	1.970804296227143e-08	2.4038066296181022e-08	0.2061456611605239
ExN	1.3875547519739679e-08	2.335588955244035e-08	0.27622528516088574
PgS	1.1720181890763073e-08	2.4930257905656867e-08	0.31913508649344013
End	1.2398801353941351e-08	2.76893881440713e-08	0.3271553751311503
ExM	9.039472256785358e-09	2.1625686845606574e-08	0.3379746547726996
oRG	1.883067640593562e-09	2.4601545222999348e-08	0.46949368901111643
Per	4.877281831533713e-10	2.535274459922829e-08	0.49232574635783966
InMGE	-3.496495278507414e-09	2.2010002201662025e-08	0.5631101674132332
Mic	-5.303921800822025e-09	2.4135112862547335e-08	0.5869707922169334
IP	-6.3105240377848004e-09	2.4549242804964167e-08	0.6014321321000504
PgG2M	-6.968260812403986e-09	2.643573153199634e-08	0.6039530344569641
InCGE	-1.2365060339020124e-08	2.2693460721066483e-08	0.707079662130125
vRG	-3.51647215435962e-08	2.5864622875469136e-08	0.9130167135245716
