Name	Coefficient	Coefficient_std_error	Coefficient_P_value
InMGE	2.2461800485910647e-09	1.1230552999879664e-09	0.022746793407334577
End	1.5718102034173561e-09	1.4482997464044917e-09	0.13889891395554277
Mic	6.659123024528899e-10	1.3502681158073083e-09	0.31094608607005453
ExM	6.45931244367894e-10	1.3187524546470506e-09	0.3121360270720431
InCGE	5.422593191481939e-10	1.3029386599166304e-09	0.33863849881259733
ExN	-2.945916878881849e-10	1.0468770685747506e-09	0.6107983670483199
ExM-U	-4.035820200530474e-10	1.1280821407875526e-09	0.6397383218638587
PgS	-5.543526647021752e-10	1.3142741428453016e-09	0.6634122286053732
ExDp2	-8.764496443134841e-10	9.965738104074864e-10	0.8104248164666814
OPC	-1.09008597802149e-09	1.2195606278337885e-09	0.8142949111012496
vRG	-1.258982115579969e-09	1.24244886154118e-09	0.8445432250054128
IP	-1.2768852513389337e-09	1.152684937481407e-09	0.866014821569671
ExDp1	-1.1373079371879948e-09	9.552266037558067e-10	0.8830977872776407
Per	-1.7413292266557964e-09	1.3045031948963709e-09	0.9090389257565573
PgG2M	-2.0366327454381972e-09	1.216881179210939e-09	0.9529002615604983
oRG	-1.882033813689484e-09	1.0901571454259793e-09	0.9578611504032777
