Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExM-U	1.3379975042378754e-08	6.628302327490271e-09	0.02176374668317433
ExN-2	1.4925758710852522e-08	8.456378456025765e-09	0.03877939131340532
vRG-ExN	1.118956773243746e-08	7.467107471998243e-09	0.0669998330047723
PgS	1.0598985181578626e-08	7.556489560370279e-09	0.08036308270831782
oRG	7.576475113770678e-09	7.89814252945961e-09	0.1687106092461224
In	6.5232731953250235e-09	6.863827314205269e-09	0.17095852855044263
PgG2M	5.4028862858994034e-09	7.937453291159652e-09	0.24803617659918165
ExM	3.5529560479461503e-09	6.392412768944868e-09	0.28917095683689126
ExN-1	4.172063950966926e-09	7.854656703237325e-09	0.2976546383513433
ExN-3	3.80824644381736e-09	7.994407725455454e-09	0.31690760985727007
Mic-Per-End	1.2688656526735398e-09	7.84229164294891e-09	0.43573253686205593
IP	9.236438242636511e-10	7.919588505676067e-09	0.45357752143565594
ExDp	5.256476998837243e-10	6.271712026981972e-09	0.46660276513306925
ExN-ExM	2.577430413785309e-10	7.756199173078559e-09	0.48674535385939716
vRG	-1.2381527519623758e-08	7.005458202359151e-09	0.961420332352829
