Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PgG2M	1.488150466525849e-09	9.79785049179104e-10	0.064399621693851
Mic-Per-End	1.889103370769033e-09	1.44157953557672e-09	0.09502352825113647
vRG-ExN	2.3809448759774352e-09	2.098781485936432e-09	0.12830469386076482
ExN-3	1.7423402131407168e-09	1.6627847046201457e-09	0.14735507188951236
ExN-ExM	1.8656594000895276e-09	1.9323898434807296e-09	0.16715537812986414
In	1.4881972808965101e-09	1.556970018078356e-09	0.1695792870697062
vRG	-8.65333665183637e-11	7.724378849764684e-10	0.544598727531866
ExN-2	-4.4975145731373997e-10	1.121062345369103e-09	0.6558574013184031
oRG	-3.943676945193404e-10	8.674587464128096e-10	0.6753101708947055
ExDp	-4.52990489136677e-10	8.495235716271615e-10	0.7030624184089318
PgS	-1.0622454419196857e-09	1.549730458165524e-09	0.7534664778814689
ExN-1	-1.0195206588219501e-09	1.418659410006053e-09	0.7638219343459255
IP	-1.0675068359725386e-09	1.2591387580775226e-09	0.8017273084317209
ExM-U	-1.2010260562460341e-09	1.1228797455241626e-09	0.8575990753249227
ExM	-1.2791129187098914e-09	9.49244050796269e-10	0.9110914854378402
