Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExM-U	4.3804798971737994e-09	5.820543139558598e-09	0.22584830190171296
ExN-ExM	5.14006393085093e-09	6.952787796349349e-09	0.2298681913846803
PgS	4.626320651739571e-09	6.436276308509799e-09	0.23613565770492206
In	3.478096110849132e-09	6.256482256682452e-09	0.28913318267417654
ExN-1	4.070205583625456e-09	7.487260398002278e-09	0.29335236636457757
ExDp	1.565003179913923e-09	5.208512934379826e-09	0.38190924311168617
vRG-ExN	1.762334575140156e-09	6.662254366674472e-09	0.39568760118375373
Mic-Per-End	9.834764915197488e-10	6.528116152208585e-09	0.4401249543289872
ExN-3	8.859509778698029e-10	6.6415987907738e-09	0.44694080294860783
PgG2M	3.487834663279646e-11	6.340648769370488e-09	0.4978055278761657
vRG	-6.576624130036615e-11	5.954634318243986e-09	0.5044060473707732
ExM	-1.4477552855878567e-10	6.1689969718360614e-09	0.5093616155933985
oRG	-2.623478993561136e-10	5.728036847940743e-09	0.518265435791583
ExN-2	-1.7324557288288074e-09	6.5549729427367035e-09	0.6042242316695902
IP	-2.6265475074578813e-09	6.115919388738488e-09	0.6662060348109337
