Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp	7.266360782348101e-09	2.241175080944482e-09	0.0005930324651738718
ExM	5.048561741693148e-09	2.2343922035249984e-09	0.011926809806140023
vRG-ExN	8.566382568777257e-09	3.994147561284956e-09	0.0159870755017609
ExM-U	1.7862456860067853e-09	1.854990325509524e-09	0.16778864111745162
In	2.3802008758159103e-09	3.3059412729638365e-09	0.2357696532934882
ExN-ExM	1.6876748606940934e-09	2.4808515491673966e-09	0.24816344374822175
ExN-3	5.874306241419528e-10	2.313461626214588e-09	0.39977927473495034
ExN-2	5.646001245514783e-10	2.287353320374223e-09	0.40251774668665385
oRG	-3.11615771734008e-09	3.5156098017308853e-09	0.812292952484271
ExN-1	-2.240144952124953e-09	2.2682728028278097e-09	0.8383255699160781
vRG	-3.2388941647230728e-09	3.269367110576825e-09	0.839078887390958
PgS	-3.010116444870016e-09	2.598493177468709e-09	0.8766513030595986
PgG2M	-4.08934028481322e-09	2.6056661054687158e-09	0.9417229709206874
Mic-Per-End	-4.558987633288514e-09	2.391347798968616e-09	0.9717041476153188
IP	-5.574044773783386e-09	2.3599879050402865e-09	0.9909091163330583
