Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp	1.8278828282011427e-08	4.665067327987512e-09	4.4599932384167925e-05
ExM	1.788265091940454e-08	5.039316827095745e-09	0.0001936233082323628
ExM-U	1.3875782735812839e-08	5.0804080500462154e-09	0.0031548835460062296
ExN-3	1.1409450307909347e-08	5.5900888436450486e-09	0.020624711405700186
ExN-2	8.704176768630333e-09	5.586576202127932e-09	0.05961044940886439
ExN-1	8.071513177645343e-09	5.195549679405691e-09	0.06014665559392779
ExN-ExM	7.539300480113323e-09	5.032452282796309e-09	0.06704889401460042
In	6.8033258981085434e-09	5.268464669345421e-09	0.09829465527516457
vRG-ExN	6.544554140430222e-09	6.048760370658168e-09	0.13963377841346686
IP	4.346372812891481e-09	4.578024149529846e-09	0.17120878923937266
PgS	3.698015673879789e-09	4.83411983029179e-09	0.22214106889002833
PgG2M	-9.07108387261916e-10	4.522332426104502e-09	0.5794881393697489
oRG	-2.931047353508624e-09	4.702306961887193e-09	0.7334632469554618
vRG	-4.037169443584513e-09	4.554983726324503e-09	0.8122772219152357
Mic-Per-End	-7.670257954151906e-09	4.587640796311602e-09	0.9527318756808263
