Name	Coefficient	Coefficient_std_error	Coefficient_P_value
vRG	1.5537248348185517e-08	7.092000916384035e-09	0.014232660964437578
ExN-2	1.5506032161044356e-08	8.080568052185444e-09	0.02749669293981511
ExN-1	1.4314227723607744e-08	7.556751144211281e-09	0.029097217499082638
PgS	1.3889807942278987e-08	8.08700882742561e-09	0.04293974800774768
ExN-3	1.4509691943258535e-08	8.844186576707245e-09	0.050441183472394596
PgG2M	1.1450326357567072e-08	7.411061165798604e-09	0.061169266517163
ExM	9.023236350582147e-09	7.127817942379699e-09	0.10277113736372229
IP	6.949581218520352e-09	7.372117758645956e-09	0.172921149319135
ExM-U	6.6014216034915346e-09	7.075590987806092e-09	0.17541380747387986
ExN-ExM	4.074350273696886e-09	7.529151135675699e-09	0.29420438091584356
In	9.466314251066181e-10	6.873454679223085e-09	0.44522974959946937
vRG-ExN	4.912502805902177e-10	7.752075828551004e-09	0.474735874430705
oRG	1.6077195392645042e-10	6.633569085370335e-09	0.4903321348456517
Mic-Per-End	-1.960841244384202e-09	7.671372939941418e-09	0.6008720695953778
ExDp	-3.1275280750143976e-09	6.353103275438256e-09	0.6887405374242418
