Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExM-U	2.0674543467495653e-08	9.146485907268629e-09	0.011898805626372298
ExM	1.693625086846486e-08	7.855031732618226e-09	0.015537844528494564
In	1.7397908506668972e-08	9.822745082602105e-09	0.038264888833045435
vRG	1.6683497097144284e-08	1.0763747870644335e-08	0.06057423782468275
ExN-1	1.2747014277554942e-08	9.452776807668363e-09	0.08874974936196262
ExDp	7.422138669597147e-09	7.121468535051843e-09	0.148654789870236
PgG2M	7.294249492453297e-09	9.817751715835866e-09	0.22875132472248894
Mic-Per-End	4.0788955392449186e-09	8.414633531699145e-09	0.3139309810434402
IP	4.024892395892617e-09	8.79316790235794e-09	0.3235733936531671
oRG	2.9998361422076094e-09	8.458002302136142e-09	0.3614167989675943
ExN-3	1.1587238097414898e-09	9.846082673605592e-09	0.45315912637288064
PgS	-1.0508659928627725e-10	8.738708058529271e-09	0.5047973312381779
ExN-2	-4.0695743760485995e-10	8.909176560332268e-09	0.5182167326104573
ExN-ExM	-2.522963782112528e-09	9.211465959756449e-09	0.607916897126859
vRG-ExN	-3.6564207690466706e-09	1.0195291027480564e-08	0.6400671151136019
