Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp	3.5154145368918576e-09	9.755091433700655e-10	0.0001568767550080868
ExM	3.2468618367409113e-09	1.0464760298540628e-09	0.0009589414184561944
ExM-U	2.407172727351386e-09	8.966477219846807e-10	0.003630442115323556
ExN-ExM	2.8217495410205206e-09	1.116746426994135e-09	0.005756016799061821
ExN-3	2.3732599347486123e-09	9.845197791707474e-10	0.007963672204117572
vRG-ExN	1.7030539386698506e-09	9.448888698452516e-10	0.03574239240344634
ExN-2	1.3791632610383514e-09	1.065219174675077e-09	0.09770798308025713
ExN-1	1.1571981296830242e-09	1.0243426505497424e-09	0.1293016912806934
In	5.481339377954562e-10	9.590240578927859e-10	0.2838121182410236
PgG2M	2.629508760113669e-10	8.596096917423736e-10	0.37984204435593355
PgS	1.2904989332357658e-10	8.406270088073053e-10	0.43899559424105045
IP	-3.341201088874746e-10	9.87367180561289e-10	0.6324672261054737
oRG	-9.590246469840994e-10	8.939909895658674e-10	0.8583072990153884
vRG	-1.0086115986270597e-09	9.017378213620356e-10	0.8683274704263748
Mic-Per-End	-2.3123641426361137e-09	8.831053317443514e-10	0.9955834440656353
