Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp	1.4660148347645926e-09	3.981900683385617e-10	0.00011584372621741191
ExM	1.4552740137855432e-09	4.360153878533844e-10	0.00042242522421559003
ExN-ExM	1.3596686220150171e-09	4.960434257561854e-10	0.0030623699795879794
ExM-U	9.93898106977585e-10	3.685447837536258e-10	0.0035002788551473994
ExN-3	8.782152916497251e-10	4.4202718317874557e-10	0.023472823537073754
vRG-ExN	6.374255460714384e-10	4.1171866966529757e-10	0.060786286016171434
ExN-1	6.316164704126735e-10	4.3767039317128585e-10	0.07449154209970159
ExN-2	5.820065379594323e-10	4.539862900538722e-10	0.0999228244340748
PgG2M	8.10735406566029e-11	3.719113316180107e-10	0.41371783398644324
In	5.6561171083344043e-11	4.412070403492651e-10	0.4489967593574745
PgS	-5.6331403299981026e-11	3.71139148648284e-10	0.5603196687423724
IP	-3.820292215242923e-10	4.2363645755672643e-10	0.816414592373998
vRG	-4.067444563631081e-10	3.8960172249942335e-10	0.8517574584184235
oRG	-4.1435171245440544e-10	3.9527321903380087e-10	0.8527421027287809
Mic-Per-End	-7.765461020577998e-10	3.796270504997766e-10	0.9795996660170287
