Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PgG2M	3.6930176050985584e-08	1.5423867151233098e-08	0.008324867615762909
Mic-Per-End	2.5534032124741406e-08	1.4151622726592183e-08	0.03559070982345296
PgS	2.4216163307797386e-08	1.458833673513071e-08	0.04846050611055041
vRG	2.269558606392279e-08	1.3904696903545262e-08	0.0513161074061086
IP	2.003597741807403e-08	1.5126684565061935e-08	0.09266102112513075
oRG	1.3831946277611472e-08	1.4184443322122309e-08	0.1647431681457418
ExM	4.0151875961487415e-09	8.560784930330229e-09	0.31952732584426197
vRG-ExN	3.5982000061416786e-09	1.5612426701386887e-08	0.40886318616261286
ExN-2	2.369211060559199e-09	1.1828822469773418e-08	0.4206263556865192
ExM-U	-3.2193667227496547e-09	8.70237847597929e-09	0.6442867796453864
ExN-3	-6.825473699118002e-09	1.0939883569368195e-08	0.7336557814395321
ExN-ExM	-9.84508664049385e-09	9.694003589781876e-09	0.8450865238530767
ExN-1	-9.617456911943731e-09	8.850093867420363e-09	0.8614167892270586
ExDp	-1.1159801856804461e-08	8.766475163032284e-09	0.8984925774318032
In	-1.2422026612992813e-08	9.090782163558568e-09	0.9140998640193028
