Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExM	1.4294062364882853e-08	1.0441671031831958e-08	0.08550839837674945
PgS	1.727228452682087e-08	1.351242426705101e-08	0.10058027781132439
vRG-ExN	1.4701339988980028e-08	1.3029790055303234e-08	0.1295994103796267
PgG2M	1.341276655742031e-08	1.2252838974075098e-08	0.13683148874538598
ExM-U	1.1098376928383236e-08	1.0826462429624908e-08	0.15265429230218985
In	1.03988433978266e-08	1.1751935478716938e-08	0.1881154805986443
ExN-2	9.929504379494035e-09	1.2398205425936083e-08	0.21159986820985544
vRG	4.772911861089685e-09	1.1085542813899457e-08	0.3333967717134175
Mic-Per-End	4.331772933118806e-09	1.2778020083297356e-08	0.36730415393889604
ExN-3	3.893113840752221e-09	1.3279885491239362e-08	0.38470042888369077
ExN-1	-3.780197504628421e-10	1.234230792285649e-08	0.5122168793232704
ExDp	-3.848783710499871e-09	9.920401592682884e-09	0.6509795960297597
ExN-ExM	-4.922093911907243e-09	1.208591133597821e-08	0.6580910453823414
oRG	-6.734777923960979e-09	1.1040713111530748e-08	0.7290673840268145
IP	-1.509123334468236e-08	1.2074323206603904e-08	0.8943249519092935
