Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp	8.98937976111773e-09	2.953924555200977e-09	0.0011703880631114634
vRG-ExN	8.485097227092712e-09	3.015617218134627e-09	0.00244860644116139
ExN-1	9.107711257539436e-09	3.324620450213236e-09	0.0030768791670364418
ExN-ExM	8.724230348703063e-09	3.4863076173924416e-09	0.006167252797671294
ExM	7.938956517691504e-09	3.3537637852133564e-09	0.008962150064285988
ExN-3	8.275314027175263e-09	3.5429327261200025e-09	0.009752807841545063
ExN-2	6.386607777920907e-09	3.2494400511414082e-09	0.02468116285991918
ExM-U	5.4721063975367224e-09	2.953848641582375e-09	0.03197455698537163
PgG2M	3.5914826073471386e-09	3.0702968807337615e-09	0.12105060957136765
PgS	-1.444864356687241e-10	2.7411321377160224e-09	0.5210187121308663
In	-1.6042188226023367e-09	2.8588594844098334e-09	0.7126487598141842
vRG	-4.241755573313178e-09	2.9976316470621347e-09	0.9214709745601566
IP	-5.412157480787122e-09	3.3122696295276004e-09	0.9488676872837051
oRG	-6.0185322652261466e-09	3.1751073052179618e-09	0.9709893295016554
Mic-Per-End	-1.2007460371857718e-08	2.7936916613765576e-09	0.9999913851069211
