Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExN-3	2.097628266342749e-09	1.0292426140683663e-09	0.02077342063167516
ExM	1.7674904079893616e-09	8.907986475928332e-10	0.023618792676383144
ExN-1	1.6552858435987291e-09	9.553814622108436e-10	0.04158414656236602
PgG2M	1.4951348082472013e-09	9.476340314700275e-10	0.057310894919361116
vRG-ExN	1.6775854061848369e-09	1.0681831409220047e-09	0.05814900552445995
PgS	1.4795354496606633e-09	9.650659490523902e-10	0.06262652232297525
IP	1.5207388744734453e-09	1.1149926953601265e-09	0.08629947281307615
ExDp	4.928144872504886e-10	7.987623934449108e-10	0.26862640899722545
ExN-2	5.338811948568326e-10	1.050311717927419e-09	0.3056188985285143
In	2.4212609726672706e-10	9.518883392178843e-10	0.39960719162262187
oRG	1.8457807530470142e-10	9.22862748920125e-10	0.42073794924502983
vRG	-4.266748909843666e-10	9.141157374390831e-10	0.6796650740277034
ExM-U	-4.961264226313506e-10	9.200494499916419e-10	0.70513897736959
Mic-Per-End	-9.569701800527194e-10	9.717858324201674e-10	0.8376275887464625
ExN-ExM	-1.0978738934140951e-09	9.283481952500208e-10	0.8815181335696277
