Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp	4.513424155238855e-09	1.4360513853273742e-09	0.0008362989854080881
ExM-U	3.086838636646548e-09	1.480403559474296e-09	0.01852860490938878
vRG-ExN	2.1965918788774905e-09	1.631351638288992e-09	0.08907294219680784
ExN-3	2.063747806588961e-09	1.5688151299695835e-09	0.09417400908683027
In	1.7809148062554809e-09	1.818196669562158e-09	0.16366769373227463
ExN-1	1.2513126321092047e-09	1.6275024193936886e-09	0.2209898320883778
ExM	1.0803881356706666e-09	1.411829474155726e-09	0.22206437539310359
IP	-3.920759664065269e-10	1.4872396266492271e-09	0.6039661806418771
oRG	-5.437926814958592e-10	1.4475381368839187e-09	0.6464178585823244
PgS	-5.616000315404651e-10	1.3918654220591091e-09	0.6567051149166486
ExN-2	-7.973380602815628e-10	1.634793400458889e-09	0.6871295099518573
ExN-ExM	-1.0499282728633852e-09	1.4748026572623016e-09	0.7617400630110475
PgG2M	-2.8383986206569734e-09	1.2815155139426147e-09	0.9866157293958785
Mic-Per-End	-3.2456976338262915e-09	1.3281596728692466e-09	0.9927323652371405
vRG	-3.5553882001930816e-09	1.3547003072938083e-09	0.9956609713428811
