Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExN-1	8.964095524238729e-08	3.8691884641747355e-08	0.010257598414783018
In	4.5000098110553156e-08	3.212572185569054e-08	0.08064445414025517
ExM	3.9573069073085575e-08	3.105834969506714e-08	0.10130471530896545
ExDp	3.543110512522182e-08	2.9093135940650646e-08	0.11164029702222789
PgG2M	3.679921126390419e-08	3.8823735930620285e-08	0.17160203789383538
ExN-2	3.323952375429365e-08	3.678496880899058e-08	0.18309925760974527
ExN-3	2.4920822713617424e-08	3.664074482752626e-08	0.24820802596145047
PgS	2.5601614201183857e-08	3.954959940488137e-08	0.2587094236065988
vRG-ExN	1.5452372525307223e-08	3.79316765528461e-08	0.341866720776329
vRG	8.32395681381401e-09	3.372152677454123e-08	0.40251447544291347
ExN-ExM	-6.58584785232976e-10	3.7608891659123655e-08	0.5069856854865933
Mic-Per-End	-4.481461310693308e-09	3.7881213199506863e-08	0.5470862113032394
oRG	-6.802201101860099e-09	3.570454377090117e-08	0.5755466557052464
IP	-1.2707847444155333e-08	3.599059136255805e-08	0.6379887814102901
ExM-U	-3.0361959947405254e-08	3.408010321529057e-08	0.8135085583030377
