Name	Coefficient	Coefficient_std_error	Coefficient_P_value
vRG-ExN	2.2793788410154054e-09	1.2729677957711017e-09	0.03667858284767441
ExN-1	1.4331071931415343e-09	1.3367121111476837e-09	0.14183451232438082
ExM-U	5.916988564563715e-10	1.2520658996163904e-09	0.31825712415730817
ExM	2.973330655529156e-10	1.2621291789211755e-09	0.40687909011182555
ExN-2	-1.2048239487460182e-10	1.358938184765619e-09	0.5353236273600043
Mic-Per-End	-4.642647379020558e-10	1.242906750209391e-09	0.6456235218757173
In	-4.89777478922456e-10	1.2165815143184902e-09	0.6563732298784817
ExN-3	-5.411293963287619e-10	1.2143672448849905e-09	0.6720590817109344
PgS	-6.008141502179143e-10	1.3243524588319172e-09	0.6749655060929113
ExDp	-5.251065949289903e-10	1.0155980493086212e-09	0.6974364934049174
IP	-1.0656513399475383e-09	1.3554227394416405e-09	0.7841287225225483
ExN-ExM	-1.0505291692288726e-09	1.3076915675171736e-09	0.7891126951675518
oRG	-1.6570115176579072e-09	1.2116008935369084e-09	0.9142847196170876
vRG	-1.619612744845764e-09	1.1242916596133075e-09	0.9251458823375843
PgG2M	-3.1073636790354517e-09	1.1470972360937568e-09	0.9966245946793927
