Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp	1.9284880320325856e-08	4.6145938802140415e-09	1.4632816560329705e-05
ExM-U	2.039561807020873e-08	5.216456252722175e-09	4.617465234219607e-05
ExM	1.3671184989657757e-08	5.616180926964569e-09	0.007461354764868472
ExN-1	1.1818170257614359e-08	5.480082126728751e-09	0.015519666458848594
ExN-3	1.2661773745935345e-08	6.3643002826865636e-09	0.023323035342247212
ExN-ExM	1.1193748897886367e-08	5.771542221357455e-09	0.026221899406112213
vRG-ExN	9.110001112073838e-09	5.453471279120919e-09	0.047410650417724236
In	8.188893885991644e-09	5.12832012400676e-09	0.05515531511641602
ExN-2	3.597310680998713e-09	5.545588084652627e-09	0.2582726986161599
PgS	2.905801643387273e-09	5.188543503812891e-09	0.2877254370015313
PgG2M	-1.8955963870936593e-09	5.943240329786237e-09	0.6251177784692964
vRG	-3.3854385678596134e-09	4.6466692052528225e-09	0.7668686059287363
oRG	-5.349161915771463e-09	4.748177969083096e-09	0.8700381499958716
IP	-9.82633761218525e-09	5.599237900323753e-09	0.9603653831938672
Mic-Per-End	-1.0259782205585996e-08	5.350891022669676e-09	0.9724062402233815
