Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ExDp	5.818998803934188e-08	1.4639773576830074e-08	3.5221071262399384e-05
ExM-U	6.575486755959644e-08	1.8132677816993434e-08	0.0001437452843796334
ExN-3	5.839410563061729e-08	2.0692438003277407e-08	0.0023862424712971556
ExN-ExM	4.4909386018949205e-08	1.9202769276357336e-08	0.00967565854878444
In	3.497481709157228e-08	1.7640991920228035e-08	0.02370674012936795
ExM	3.097797965409266e-08	1.9406768640326552e-08	0.05521692423648496
vRG-ExN	2.7480669483479306e-08	1.953872583835286e-08	0.0797920167403735
ExN-1	2.796295423678019e-08	2.0076597638436508e-08	0.0818381124635838
ExN-2	3.669653356352824e-10	1.7303131597787466e-08	0.49153985431796837
PgG2M	-7.861118293396693e-09	1.9082011552512218e-08	0.659817411627239
PgS	-8.603512377217893e-09	1.756597042986499e-08	0.6878562426703024
vRG	-1.4132954229745125e-08	1.6207789378574445e-08	0.808391803956042
Mic-Per-End	-1.897803144922786e-08	1.7885079869918622e-08	0.8556799712999074
IP	-2.5816543398527373e-08	1.9237970332796357e-08	0.9101951525571609
oRG	-3.131729445975727e-08	1.549792758720175e-08	0.9783466975960051
