Name	Coefficient	Coefficient_std_error	Coefficient_P_value
vRG-ExN	1.8348350214046327e-09	8.540491192593656e-10	0.015841187216490207
In	1.8298450756052596e-09	8.847828410619325e-10	0.019313945954185077
ExM-U	1.1596151555637838e-09	9.75316820408827e-10	0.1172272057709276
ExM	2.762069849891705e-10	1.0583815959672002e-09	0.3970574058798556
ExN-1	2.0997616591725374e-10	9.500964657893784e-10	0.41254423036007737
ExN-ExM	1.2077757005699386e-10	9.20246317695218e-10	0.44779081734655624
IP	-8.762292291379738e-11	1.0998869978389411e-09	0.5317483052977257
ExDp	-4.238866064395179e-10	8.099791819083262e-10	0.6996277726181335
Mic-Per-End	-6.358442700690619e-10	8.85399850010746e-10	0.7636656373236053
PgS	-8.562477610168593e-10	1.014693285568984e-09	0.8006230627060759
ExN-3	-8.033955233744502e-10	9.231410448975752e-10	0.8079275797848238
vRG	-1.0657429021413208e-09	9.255954060926366e-10	0.8752188867419342
ExN-2	-1.167020111583728e-09	8.914076578419823e-10	0.9047646435165693
PgG2M	-1.217869374603957e-09	8.853657718095176e-10	0.9155202871937873
oRG	-3.5083318327427995e-09	8.811759739678153e-10	0.9999657476413241
