Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	3.092821078329483e-08	1.6702359527654944e-08	0.03203251448900927
geneExpr.M10_purple	6.587884397719402e-08	3.695535307518156e-08	0.03732080176565219
geneExpr.M11_greenyellow	5.799373388721539e-08	3.3310126204096366e-08	0.040839673437645344
geneExpr.M23_darkturquoise	4.9086724493845685e-08	3.014029205536023e-08	0.05169800170665412
geneExpr.M15_midnightblue	2.602434268538182e-08	2.672694059357507e-08	0.1650997795468398
geneExpr.M18_lightgreen	2.9610113493134275e-08	3.382787265928041e-08	0.19070071147454898
geneExpr.M21_darkred	2.316603823635189e-08	2.9298848900953527e-08	0.21456513201005895
geneExpr.M8_pink	1.2444685707384012e-08	1.6733892580760025e-08	0.22853460343561321
geneExpr.M16_lightcyan	2.6627218755323533e-08	3.723528587762352e-08	0.23727142148028335
geneExpr.M4_yellow	2.086375630103578e-08	3.7320756420801345e-08	0.28806757072923905
geneExpr.M19_lightyellow	1.3729444824789284e-08	2.5377001438333895e-08	0.29424717706635917
geneExpr.M9_magenta	9.427379167513376e-09	2.036614701946145e-08	0.32171996464097985
geneExpr.M1_turquoise	3.3900208348660136e-09	1.4530893596355979e-08	0.4077652082698984
geneExpr.M6_red	1.4320463199318715e-09	1.6991221012044442e-08	0.4664162934714341
geneExpr.M13_salmon	7.552206519435628e-10	1.855557011433327e-08	0.48376733857071974
geneExpr.M22_darkgreen	-8.725042488010307e-09	4.140586389654417e-08	0.5834471055111823
geneExpr.M7_black	-7.192150970915113e-09	2.1614016940977152e-08	0.6303400146324661
geneExpr.M12_tan	-8.162864571548224e-09	1.8690425632674485e-08	0.6688501984051889
geneExpr.M3_brown	-8.78172135968892e-09	1.8342008708695e-08	0.6839511551611944
geneExpr.M14_cyan	-1.2012503164247944e-08	2.0341957768519796e-08	0.7225817642421676
geneExpr.M2_blue	-1.0358044467581257e-08	1.317463230488371e-08	0.7841281392765074
geneExpr.M0_grey	-8.788774208033654e-09	8.450961096905497e-09	0.8508238557169224
geneExpr.M20_royalblue	-4.86843972676335e-08	2.6088756725401545e-08	0.9689867633095922
geneExpr.M17_grey60	-8.763097430100012e-08	1.6708419400294077e-08	0.9999999217398986
