Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	1.3909887159379053e-09	6.894318427988659e-10	0.021817146516867333
geneExpr.M1_turquoise	4.395057098807967e-09	3.469897296730306e-09	0.1026447851188107
geneExpr.M21_darkred	1.404599499647009e-09	1.3569430200781784e-09	0.1503063264777711
geneExpr.M20_royalblue	7.591260720233933e-09	8.410893754437e-09	0.1833821164480573
geneExpr.M23_darkturquoise	1.325820105655229e-09	1.7013625116129456e-09	0.21791045543582327
geneExpr.M17_grey60	8.698120126000817e-10	1.502390958533102e-09	0.2813108341935234
geneExpr.M19_lightyellow	6.722373782919118e-10	1.2033250181568894e-09	0.28820034519165605
geneExpr.M0_grey	1.4610770285812056e-10	2.968534133210409e-10	0.3112932054726293
geneExpr.M7_black	2.915271836594551e-10	9.837229935001073e-10	0.3834810632528767
geneExpr.M8_pink	2.1397829897416058e-10	1.0125993555539797e-09	0.4163204057337251
geneExpr.M11_greenyellow	-5.808566154651678e-10	3.930799574773578e-09	0.5587380941970105
geneExpr.M15_midnightblue	-1.2800503274945876e-09	2.7025378015973137e-09	0.6821243586189925
geneExpr.M13_salmon	-4.722614412904858e-10	9.079014029396529e-10	0.698526827383966
geneExpr.M18_lightgreen	-9.049877610586401e-10	1.641772505676781e-09	0.7092606351297591
geneExpr.M2_blue	-6.74143842496141e-10	9.902393311143014e-10	0.7519974299418053
geneExpr.M16_lightcyan	-9.052370093635673e-10	8.929436939132095e-10	0.8446530700221835
geneExpr.M9_magenta	-1.5873662732574286e-09	1.5615903733153922e-09	0.8453057981933625
geneExpr.M3_brown	-8.737614407705201e-10	8.510103114262857e-10	0.8477271933987558
geneExpr.M4_yellow	-3.5507486352930285e-09	2.275912652240088e-09	0.9406369250659401
geneExpr.M10_purple	-3.0944135743621132e-09	1.871602545974999e-09	0.9508701468423274
geneExpr.M12_tan	-1.4141120927059921e-09	7.435263444867002e-10	0.9714078271989306
geneExpr.M14_cyan	-2.15537751190842e-09	1.0763437854830909e-09	0.9773844626017224
geneExpr.M6_red	-1.4492023696457658e-09	6.156675299403493e-10	0.9907104885414295
geneExpr.M22_darkgreen	-5.208158288193833e-09	2.1168051203965856e-09	0.9930606227169375
