Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M15_midnightblue	4.5762506910062e-08	2.428810954991672e-08	0.029772162505347408
geneExpr.M11_greenyellow	5.331119757941279e-08	3.488388347389874e-08	0.06322558571916248
geneExpr.M1_turquoise	1.6719389718880648e-08	1.2727371008337128e-08	0.09448096498593783
geneExpr.M18_lightgreen	3.406048279809359e-08	3.267570442442959e-08	0.14861789514989437
geneExpr.M23_darkturquoise	3.030957943409267e-08	2.9500056910307236e-08	0.1521063354765182
geneExpr.M4_yellow	1.5917141194270786e-08	1.9251356259330667e-08	0.20417345059606595
geneExpr.M21_darkred	1.8550703560691524e-08	2.7436378589332745e-08	0.2494773790202206
geneExpr.M19_lightyellow	1.678865380895927e-08	2.5156492012982684e-08	0.25226834671861775
geneExpr.M22_darkgreen	2.34481295032846e-08	6.495427931011597e-08	0.3590518257949128
geneExpr.M12_tan	4.789899761033577e-09	1.5205425645734594e-08	0.3763760661831844
geneExpr.M8_pink	3.490798011367633e-09	1.3243688380672224e-08	0.3960510109488561
geneExpr.M20_royalblue	7.871681683559582e-09	3.430036993224507e-08	0.4092430288827502
geneExpr.M16_lightcyan	6.094014365719183e-09	2.8740494884561255e-08	0.4160395451138876
geneExpr.M10_purple	6.842200029387411e-11	2.419687640822201e-08	0.49887190429089506
geneExpr.M9_magenta	-1.0740075365946785e-09	2.8217812576107584e-08	0.5151806092791976
geneExpr.M17_grey60	-1.06749633158686e-09	2.031097299830922e-08	0.5209578063389296
geneExpr.M7_black	-1.7745090253165029e-09	1.8365274219550663e-08	0.5384871292297675
geneExpr.M5_green	-1.6085970255221792e-09	1.4191073924729668e-08	0.5451245444788299
geneExpr.M6_red	-4.806372711928948e-09	1.90189530469103e-08	0.5997557313520141
geneExpr.M14_cyan	-7.999134901934308e-09	1.9097241788771996e-08	0.6623420027188717
geneExpr.M2_blue	-5.6239226348758294e-09	9.340379349571867e-09	0.7264490713214155
geneExpr.M0_grey	-6.224289065625989e-09	6.7254081172839555e-09	0.8226441147556776
geneExpr.M3_brown	-2.1679580279541103e-08	1.4451159314233786e-08	0.9332182600200811
geneExpr.M13_salmon	-2.2353635343716675e-08	1.4827263199611059e-08	0.9341719942894047
