Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M8_pink	1.6275411850735676e-08	6.944365873138186e-09	0.00954712398839328
geneExpr.M1_turquoise	8.107120954435138e-09	5.118520198690634e-09	0.0566105329309494
geneExpr.M0_grey	3.1342873496653756e-09	2.9347332766964557e-09	0.14276085456808052
geneExpr.M16_lightcyan	8.357284518506277e-09	1.224493031367234e-08	0.24745833492964658
geneExpr.M5_green	2.966746426409801e-09	4.482731704338939e-09	0.2540443708560026
geneExpr.M17_grey60	1.5234104493957463e-08	2.5067519207526194e-08	0.2716856490269931
geneExpr.M11_greenyellow	5.247881778953141e-09	8.909832457980933e-09	0.2779309958927918
geneExpr.M7_black	1.736882943402301e-09	7.411270038794923e-09	0.40735392269361465
geneExpr.M15_midnightblue	1.5168785368432328e-09	9.03826650913125e-09	0.4333591079416595
geneExpr.M14_cyan	4.430396870695162e-11	9.781353983226265e-09	0.49819302461578957
geneExpr.M12_tan	-9.95686996156909e-10	5.8621873965005686e-09	0.5674355769141813
geneExpr.M23_darkturquoise	-2.8468224036707395e-09	1.2023024354975953e-08	0.5935866110829988
geneExpr.M19_lightyellow	-3.3398304320871947e-09	8.982810418437212e-09	0.6449800100089
geneExpr.M10_purple	-3.3198473781743853e-09	6.119671598018204e-09	0.7062587562097528
geneExpr.M4_yellow	-3.7903033425676725e-09	6.786369747935559e-09	0.7117543239997177
geneExpr.M6_red	-3.009404694847538e-09	4.410037813419344e-09	0.7525066059440375
geneExpr.M20_royalblue	-5.139504279516791e-09	5.1882731403092144e-09	0.8390595738345883
geneExpr.M22_darkgreen	-9.102366431382737e-09	7.984939826555931e-09	0.8728447190673163
geneExpr.M13_salmon	-8.567586330363616e-09	6.1644101451423304e-09	0.9177123135485907
geneExpr.M21_darkred	-1.281310585263227e-08	8.537050682826581e-09	0.9333069599708829
geneExpr.M9_magenta	-9.3762315034847e-09	6.041647140943511e-09	0.9396608707148917
geneExpr.M18_lightgreen	-1.1754459170016413e-08	6.59353783603365e-09	0.9626843913805279
geneExpr.M2_blue	-7.927477115831556e-09	3.725319637459278e-09	0.9833314240168899
geneExpr.M3_brown	-1.2180564099061317e-08	4.803825634081825e-09	0.9943872023605463
