Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M6_red	2.6640508551467185e-08	1.2277251843700849e-08	0.015006903277514033
geneExpr.M16_lightcyan	5.1333976840076835e-08	2.857086653579598e-08	0.03618968109813022
geneExpr.M20_royalblue	2.5229637340670912e-08	1.579729577639977e-08	0.05512328743526322
geneExpr.M5_green	2.1315578419088524e-08	1.4049621218942866e-08	0.06461265144476415
geneExpr.M1_turquoise	1.4115401189740844e-08	9.773298067224783e-09	0.07432979447573249
geneExpr.M8_pink	1.74443278578155e-08	1.2084969643625068e-08	0.0744436310242495
geneExpr.M11_greenyellow	3.47736940422388e-08	2.5547107255302826e-08	0.08673160593688661
geneExpr.M12_tan	1.7039192759188718e-08	1.4519012118591901e-08	0.12028205486836985
geneExpr.M22_darkgreen	3.729925457783921e-08	3.9321480504984704e-08	0.17141917406907659
geneExpr.M18_lightgreen	1.9176021108148736e-08	2.3268510637238352e-08	0.2049359800986189
geneExpr.M10_purple	1.4126800212642285e-08	1.8306165562763732e-08	0.22014716164178083
geneExpr.M4_yellow	4.457667035541081e-09	1.750065790347264e-08	0.39947190280788714
geneExpr.M2_blue	1.1351927237156635e-09	9.515480383255574e-09	0.4525190118436795
geneExpr.M23_darkturquoise	1.3099003936791565e-09	1.9621144591524298e-08	0.473386530311129
geneExpr.M7_black	-4.565779864823084e-10	1.2134678686901417e-08	0.5150070140988011
geneExpr.M21_darkred	-1.0765394623162475e-09	1.6156871265112183e-08	0.526562044529493
geneExpr.M15_midnightblue	-2.1102294950946017e-09	1.721067217001579e-08	0.5487926990602328
geneExpr.M13_salmon	-2.1462272881108085e-09	1.2969165349942027e-08	0.5657196296911529
geneExpr.M3_brown	-4.199415716260289e-09	1.1022772464649377e-08	0.6483896044663692
geneExpr.M17_grey60	-8.745851450050103e-09	1.742342929632936e-08	0.6921519060210064
geneExpr.M19_lightyellow	-1.513715228335968e-08	1.8440378516552822e-08	0.7941398205893828
geneExpr.M9_magenta	-1.3557301283552027e-08	1.6027301165563338e-08	0.8011923785485089
geneExpr.M14_cyan	-1.6292687701820774e-08	1.4816664673933422e-08	0.8642509451298275
geneExpr.M0_grey	-9.38306955744086e-09	5.200660337146384e-09	0.9644005955083272
