Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M8_pink	2.7755628155199965e-08	1.496326953784615e-08	0.031804015576962094
geneExpr.M23_darkturquoise	5.9392672253260935e-08	3.218198055434589e-08	0.032480551617799995
geneExpr.M7_black	2.884944101410426e-08	1.8115280635110194e-08	0.055630893558917816
geneExpr.M2_blue	1.5996334436478983e-08	1.256085765516255e-08	0.10141917574797904
geneExpr.M22_darkgreen	3.955295971771336e-08	3.5332294186957975e-08	0.1314727596175045
geneExpr.M17_grey60	2.9622532920642092e-08	2.7016268105790254e-08	0.13643652855098887
geneExpr.M11_greenyellow	3.3016062234760504e-08	3.858941023743175e-08	0.19611697084518048
geneExpr.M15_midnightblue	2.7083629474018176e-08	3.30185955854379e-08	0.2060357104762191
geneExpr.M9_magenta	1.0258532102011484e-08	1.8095005326894865e-08	0.28538217094467344
geneExpr.M20_royalblue	1.0660862534565505e-08	1.972186909259088e-08	0.29440529041643115
geneExpr.M13_salmon	1.2518146874222728e-08	2.3622678102434734e-08	0.2980834455940982
geneExpr.M3_brown	5.041905279388825e-09	1.7748351596257138e-08	0.38817553939110716
geneExpr.M19_lightyellow	2.4163813583892673e-09	2.653622763084459e-08	0.4637225706932069
geneExpr.M12_tan	1.0946529010812382e-09	1.8907793378112053e-08	0.4769164235436659
geneExpr.M21_darkred	2.6574584641130677e-09	5.96291344067151e-08	0.4822264450416385
geneExpr.M16_lightcyan	3.2753825760634284e-10	1.7006029305996938e-08	0.492316796657735
geneExpr.M6_red	-1.0955150334502203e-09	1.2982316617525663e-08	0.5336249022576094
geneExpr.M5_green	-3.060581065685086e-09	1.2458748741256674e-08	0.5970261885202127
geneExpr.M1_turquoise	-6.099338559860728e-09	1.6267827337900804e-08	0.6461446978299278
geneExpr.M18_lightgreen	-1.71104638626792e-08	3.530197103833782e-08	0.6860513823219055
geneExpr.M0_grey	-7.639571012057428e-09	6.848353998750794e-09	0.8676891490818732
geneExpr.M14_cyan	-3.190936008729911e-08	2.2534701873712242e-08	0.921613691457593
geneExpr.M10_purple	-2.6644440727458734e-08	1.5903841145958187e-08	0.9530668426535892
geneExpr.M4_yellow	-3.8339496293962575e-08	2.1765363436885363e-08	0.9609223499521129
