Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M20_royalblue	5.862842497985196e-08	2.92928948014489e-08	0.022671663184869868
geneExpr.M7_black	4.4610653254768777e-08	3.044598455595146e-08	0.07142781970708732
geneExpr.M17_grey60	4.112811859065413e-08	3.3620069978508897e-08	0.11060434612923231
geneExpr.M11_greenyellow	6.103545597765563e-08	5.357140081285327e-08	0.1272829573019505
geneExpr.M15_midnightblue	3.482162442952493e-08	3.4392737563403946e-08	0.1556566263344113
geneExpr.M16_lightcyan	2.841535457260968e-08	3.9747787989108193e-08	0.23733805421029924
geneExpr.M8_pink	5.7564200562002906e-09	1.7548142575161042e-08	0.37144227421525194
geneExpr.M10_purple	9.132746156500487e-09	3.489270057494475e-08	0.3967617154172516
geneExpr.M1_turquoise	5.199356707132863e-09	2.0339835518047074e-08	0.39912046717129473
geneExpr.M5_green	1.7319727569293505e-09	1.566779159019008e-08	0.4559891706080336
geneExpr.M18_lightgreen	2.8014111564915903e-09	3.972899666519255e-08	0.4718926727477583
geneExpr.M22_darkgreen	1.0329621697585897e-09	4.379105155378215e-08	0.4905904504120131
geneExpr.M13_salmon	-4.004278700030794e-10	2.3581433132804437e-08	0.5067739704381707
geneExpr.M14_cyan	-2.4973294521066507e-09	3.1504071211737704e-08	0.5315910879405593
geneExpr.M21_darkred	-1.3370331715161359e-08	4.761049785045946e-08	0.6105786016979032
geneExpr.M12_tan	-6.304864677987433e-09	2.186409195405693e-08	0.6134667734778245
geneExpr.M2_blue	-7.771718186292945e-09	1.4688502211715083e-08	0.701632706990312
geneExpr.M9_magenta	-1.4300233904232969e-08	2.3764745822814174e-08	0.7263268910055077
geneExpr.M0_grey	-6.567992311111373e-09	9.068627650338083e-09	0.7655451772969686
geneExpr.M19_lightyellow	-2.341085777541847e-08	3.0962943314516346e-08	0.7752032136703697
geneExpr.M6_red	-1.726089219596415e-08	1.9434196906663997e-08	0.8127756411792911
geneExpr.M4_yellow	-2.7071470268535946e-08	2.8678075594329744e-08	0.8274095352783717
geneExpr.M23_darkturquoise	-4.148310825591029e-08	3.248316353316172e-08	0.8992103336989885
geneExpr.M3_brown	-3.935047398962812e-08	2.0344823043125112e-08	0.9734542706431737
