Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M8_pink	2.095271799804389e-09	9.684751374315666e-10	0.015252330212835289
geneExpr.M5_green	2.115321976579672e-09	9.928447340510102e-10	0.01656242569704927
geneExpr.M6_red	1.7866761177203278e-09	1.0579324320302306e-09	0.04562527367213621
geneExpr.M1_turquoise	7.098261806852959e-10	7.390664714077264e-10	0.16841786749726773
geneExpr.M16_lightcyan	6.597538477164233e-09	6.908543224367487e-09	0.1697932515617538
geneExpr.M23_darkturquoise	1.2106728358020211e-09	1.7820936160731176e-09	0.24845672163129023
geneExpr.M15_midnightblue	1.2031118685728773e-09	1.8171003723860166e-09	0.25395185534869225
geneExpr.M7_black	5.03695701534625e-10	9.59704484880862e-10	0.2998456175265048
geneExpr.M17_grey60	4.793069381487758e-10	1.1297331604715153e-09	0.3356860551826555
geneExpr.M11_greenyellow	-1.8286321687689745e-10	1.265436159944582e-09	0.5574495714997998
geneExpr.M12_tan	-1.9472598256108176e-10	8.82931351202621e-10	0.5872765854460422
geneExpr.M14_cyan	-2.94651187504082e-10	1.0188998286064028e-09	0.6137803355528991
geneExpr.M22_darkgreen	-6.0706664104309e-10	1.44884338043931e-09	0.6623922527814161
geneExpr.M19_lightyellow	-6.829479775962787e-10	1.2826392284006315e-09	0.702794632493772
geneExpr.M13_salmon	-8.57604695284138e-10	1.4805615242407729e-09	0.7187873434552183
geneExpr.M21_darkred	-1.2610484468374625e-09	1.8648986202434005e-09	0.750543844492843
geneExpr.M4_yellow	-1.1054028033088808e-09	1.394328174321873e-09	0.7860485227413079
geneExpr.M18_lightgreen	-1.056289324073969e-09	1.2161590744909942e-09	0.8074520747967061
geneExpr.M0_grey	-5.878128553109273e-10	6.223012054292448e-10	0.8275631579459584
geneExpr.M20_royalblue	-1.0547860817837802e-09	1.1111932035213938e-09	0.8287500430604957
geneExpr.M10_purple	-1.2121987098685352e-09	1.0637692619910667e-09	0.8727592560766605
geneExpr.M2_blue	-8.344161589000995e-10	7.185609102836828e-10	0.8772262844537209
geneExpr.M9_magenta	-1.4596660954865123e-09	8.830846328112355e-10	0.9508261784691233
geneExpr.M3_brown	-1.6854807332250868e-09	9.445118296458527e-10	0.9628287187295519
