Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M6_red	5.830201864883922e-08	2.5578327381102752e-08	0.011323066510796995
geneExpr.M18_lightgreen	1.2160139935748673e-07	5.8325710201949426e-08	0.018540647821827023
geneExpr.M13_salmon	6.979702829642234e-08	3.5392612920676725e-08	0.024300295065766944
geneExpr.M9_magenta	3.234398367573574e-08	3.2132198254983205e-08	0.15706566488213353
geneExpr.M0_grey	9.835570459288584e-09	1.0575305075243814e-08	0.17617240332527734
geneExpr.M21_darkred	6.164513230816413e-08	7.831920692301072e-08	0.21561134878319888
geneExpr.M7_black	1.8895127633861094e-08	2.6244984749322518e-08	0.2357772939730799
geneExpr.M1_turquoise	9.893010058356819e-09	2.2959043080048076e-08	0.333271200574181
geneExpr.M19_lightyellow	1.387081637725129e-08	3.755700424441117e-08	0.3559419947641026
geneExpr.M17_grey60	7.338600827304561e-10	3.459087680359182e-08	0.4915369056452732
geneExpr.M10_purple	-1.3593041750732369e-09	3.001628950821563e-08	0.5180601474173911
geneExpr.M8_pink	-1.3685964758492164e-09	2.2278492172258835e-08	0.5244921325323295
geneExpr.M11_greenyellow	-5.8411673381494205e-09	5.2178706222616914e-08	0.5445666596970055
geneExpr.M3_brown	-1.1106454986645053e-08	3.013932175866836e-08	0.6437511987091207
geneExpr.M20_royalblue	-1.618863690689659e-08	3.591891953742806e-08	0.6738969068490344
geneExpr.M23_darkturquoise	-1.9909035108357313e-08	4.3582917969102886e-08	0.6760955509206917
geneExpr.M5_green	-1.0522977093371068e-08	2.1486572511043057e-08	0.6878434097202734
geneExpr.M12_tan	-1.5002347387867936e-08	2.4929589217618974e-08	0.7263426317779422
geneExpr.M2_blue	-1.2807117595140452e-08	1.7091233650979957e-08	0.7731733642132239
geneExpr.M14_cyan	-3.093162613299334e-08	3.174901986801934e-08	0.8350349099918405
geneExpr.M16_lightcyan	-3.272158127406806e-08	2.6472279133881465e-08	0.8917836657374839
geneExpr.M4_yellow	-4.095597374390754e-08	3.292504370806323e-08	0.8932346765542187
geneExpr.M22_darkgreen	-7.19388209215944e-08	4.882534225585899e-08	0.9296771851204892
geneExpr.M15_midnightblue	-5.90547909104961e-08	3.547179953254984e-08	0.9520274348295815
