Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M6_red	1.381110317707779e-08	8.117396545013213e-09	0.04443204704597084
geneExpr.M8_pink	1.304573020199089e-08	8.990890549725707e-09	0.07339073513226099
geneExpr.M10_purple	1.3003815827090333e-08	1.1026228368269958e-08	0.11912881519502405
geneExpr.M5_green	6.567874654374086e-09	6.332809930336413e-09	0.1498403054625927
geneExpr.M16_lightcyan	4.9351797042546547e-08	4.8617536766343024e-08	0.1550284167569903
geneExpr.M14_cyan	8.48572259851459e-09	1.0083285966782261e-08	0.20001624220634417
geneExpr.M12_tan	6.702123090161028e-09	9.006103394489925e-09	0.22838510048071559
geneExpr.M1_turquoise	3.5142859203154187e-09	6.387558136121326e-09	0.291099077385361
geneExpr.M11_greenyellow	5.07581274781521e-09	1.1420946404405482e-08	0.3283658152156633
geneExpr.M23_darkturquoise	5.529544743646646e-09	2.193856842536991e-08	0.4005024665930512
geneExpr.M13_salmon	6.290805566729533e-10	1.4534590027266506e-08	0.4827385225576792
geneExpr.M17_grey60	3.8427430116822763e-10	1.2050098595217e-08	0.48727999733603083
geneExpr.M18_lightgreen	-7.884729721625662e-10	1.2076901330971425e-08	0.5260275277083425
geneExpr.M4_yellow	-1.2488365873211807e-09	1.0384398782609674e-08	0.5478617405138985
geneExpr.M15_midnightblue	-1.8793971921450336e-09	1.1438594321869197e-08	0.5652537528785366
geneExpr.M9_magenta	-4.560743651533874e-09	9.523505488368434e-09	0.6839927566113628
geneExpr.M7_black	-3.980110143989507e-09	7.615137316611577e-09	0.6993937597045393
geneExpr.M21_darkred	-6.839376891373554e-09	1.2285047228032922e-08	0.7111418876147736
geneExpr.M19_lightyellow	-7.946555060426208e-09	1.2634635853000135e-08	0.7353091264684768
geneExpr.M2_blue	-3.952517662376965e-09	5.369216627208e-09	0.7691785259259818
geneExpr.M0_grey	-6.459701695923872e-09	4.285876381553312e-09	0.934121161220972
geneExpr.M3_brown	-1.7201654275209746e-08	8.607826891906074e-09	0.9771619158548022
geneExpr.M22_darkgreen	-2.406747672833941e-08	1.1622629004361128e-08	0.980808586531088
geneExpr.M20_royalblue	-2.2223893331157712e-08	8.737509679104775e-09	0.994512664496144
